Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2016-02-27,435.65,440.99,435.65,440.93,1.77,777.0061,438.986497175
2016-02-26,422.04,434.64,422.04,434.64,1.56,667.2716,427.738205128
2016-02-25,409.84,437.0,395.91,423.43,640.83,272117.2388,424.632490364
2016-02-24,418.24,436.0,390.01,409.83,320.57,132387.5984,412.975632155
2016-02-23,434.2,447.99,386.47,423.4,649.21,276110.2323,425.301878129
2016-02-22,449.66,449.66,387.65,433.95,761.74,322898.1818,423.895531021
2016-02-21,403.0,453.0,393.71,443.07,359.79,157119.3788,436.697459073
2016-02-20,424.33,448.86,401.59,402.7,558.72,243115.6705,435.129708083
2016-02-19,428.03,429.38,406.77,426.77,465.43,196253.1305,421.659821026
2016-02-18,427.39,433.19,413.7,425.14,569.78,241290.7322,423.480522658
2016-02-17,413.03,435.19,412.05,427.68,524.34,221063.7542,421.603833772
2016-02-16,401.5,417.87,395.0,413.03,355.15,145577.2705,409.903619597
2016-02-15,406.76,416.1,393.0,401.49,614.54,251434.4296,409.142496176
2016-02-14,403.42,416.0,393.77,406.75,599.64,244146.5418,407.155196118
2016-02-13,391.89,406.32,389.41,394.0,624.58,247372.5749,396.062273688
2016-02-12,388.05,394.0,377.46,391.89,304.89,117839.7994,386.499391256
2016-02-11,393.22,393.51,374.0,388.02,712.59,274079.4719,384.624358888
2016-02-10,384.12,396.27,376.99,391.79,386.62,148868.4568,385.05110134
2016-02-09,382.5,390.17,372.18,375.66,328.43,125288.0291,381.475593277
2016-02-08,385.81,393.37,372.96,375.8,426.58,163249.3897,382.693491725
2016-02-07,386.75,388.04,378.79,386.44,184.11,70901.8652,385.105997501
2016-02-06,395.0,395.0,376.11,384.75,271.02,104717.6016,386.38329865
2016-02-05,396.02,405.0,390.66,399.29,238.75,94844.4473,397.254229529
2016-02-04,380.93,407.0,370.26,403.08,604.23,233803.2136,386.944066994
2016-02-03,382.78,391.28,367.5,380.99,535.91,203671.0276,380.047074322
2016-02-02,384.0,386.0,382.0,383.32,2.79,1070.0763,383.539892473
2016-02-01,383.26,389.33,371.64,374.23,455.4,174499.7383,383.17904765
2016-01-31,388.77,389.54,380.67,383.26,411.01,158971.7981,386.783285322
2016-01-30,384.75,393.2,381.26,388.77,395.76,153607.253,388.132335254
2016-01-29,387.5,395.19,376.42,385.16,292.21,113116.5824,387.107157181
2016-01-28,408.09,409.52,387.44,387.5,387.26,154107.1514,397.942342096
2016-01-27,403.01,409.74,396.26,408.21,203.81,82643.1685,405.491234483
2016-01-26,404.51,407.85,395.01,403.3,47.07,18978.8311,403.20439983
2016-01-25,414.3,414.88,392.05,404.76,344.43,139846.6561,406.023447725
2016-01-24,399.0,415.02,391.26,414.88,260.15,106457.4171,409.215518355
2016-01-23,391.77,404.5,382.66,396.4,183.94,72924.9782,396.460683919
2016-01-22,414.67,424.39,380.0,396.38,458.98,185279.9003,403.677502941
2016-01-21,423.48,434.07,412.09,424.05,187.62,79368.2012,423.026336211
2016-01-20,385.0,422.09,379.15,422.09,85.46,33243.4801,388.994618535
